emotion.negative,emotion.positive,relation.person,relation.conflict,relation.cheated,relation.divorce,relation.love,relation.birth,relation.loss,relation.rejection,relation.family_shaming,relation.reunion,abuse.physical,abuse.mental,abuse.sexual,self_critical,,,,,
disgraced,Pampered,people,,,,,,,,,,,,,,,,,,
disgruntled,Pardoned,peers,,,,,,,,,,,,,,,,,,
disgust,Passionate,patients,,,,,,,,,,,,,,,,,,
disgusted,Patient,patient,,,,,,,,,,,,,,,,,,
disheartened,Peaceful,partners,,,,,,,,,,,,,,,,,,
dishonest,Perfect,partner,,,,,,,,,,,,,,,,,,
dishonorable,Persevering,parrots,,,,,,,,,,,,,,,,,,
disillusioned,Pleasant,parrot,,,,,,,,,,,,,,,,,,
dislike,Pleased,parents,,,,,,,,,,,,,,,,,,
disliked,Popular,parent,,,,,,,,,,,,,,,,,,
dismal,Positive,pappa,,,,,,,,,,,,,,,,,,
dismayed,Powerful,pals,,,,,,,,,,,,,,,,,,
disorganized,Praised,pal,,,,,,,,,,,,,,,,,,
disoriented,Precious,pa,,,,,,,,,,,,,,,,,,
disowned,Prepared,owners,,,,,,,,,,,,,,,,,,
displeased,Present,orphaned,,,,,,,,,,,,,,,,,,
disposable,Productive,niece,,,,,,,,,,,,,,,,,,
disregarded,Proficient,nephew,,,,,,,,,,,,,,,,,,
disrespected,Progressive,neighbours,,,,,,,,,,,,,,,,,,
dissatisfied,Prosperous,neighbourhood,,,,,,,,,,,,,,,,,,
distant,Protected,neighbors,,,,,,,,,,,,,,,,,,
distracted,Prudent,neighbor,,,,,,,,,,,,,,,,,,
distraught,Punctual,mum,,,,,,,,,,,,,,,,,,
distressed,Purified,mothers,,,,,,,,,,,,,,,,,,
disturbed,Purposeful,mother,,,,,,,,,,,,,,,,,,
dizzy,Qualified,mommy,,,,,,,,,,,,,,,,,,
dominated,Quick,mom,,,,,,,,,,,,,,,,,,
doomed,Radiant,members,,,,,,,,,,,,,,,,,,
double-crossed,Rational,member,,,,,,,,,,,,,,,,,,
doubted,Reasonable,mates,,,,,,,,,,,,,,,,,,
doubtful,Reassured,mamma,,,,,,,,,,,,,,,,,,
down,Receptive,ma,,,,,,,,,,,,,,,,,,
down and out,Recognized,love,,,,,,,,,,,,,,,,,,
down in the dumps,Redeemed,losers,,,,,,,,,,,,,,,,,,
downhearted,Regenerated,little one,,,,,,,,,,,,,,,,,,
downtrodden,Relaxed,kitten,,,,,,,,,,,,,,,,,,
drained,Release,kids,,,,,,,,,,,,,,,,,,
dramatic,Reliable,kid,,,,,,,,,,,,,,,,,,
dread,Relief,infant,,,,,,,,,,,,,,,,,,
dreadful,Relieved,idiots,,,,,,,,,,,,,,,,,,
dreary,Remembered,idiot,,,,,,,,,,,,,,,,,,
dropped,Replenished,husbands,,,,,,,,,,,,,,,,,,
drunk,Resolute,husband,,,,,,,,,,,,,,,,,,
dry,Respected,household,,,,,,,,,,,,,,,,,,
dumb,Respectful,house,,,,,,,,,,,,,,,,,,
dumped,Responsive,honeymoon,,,,,,,,,,,,,,,,,,
dumped on,Restored,hometown,,,,,,,,,,,,,,,,,,
duped,Revitalized,homes,,,,,,,,,,,,,,,,,,
edgy,Rewarded,hamster,,,,,,,,,,,,,,,,,,
egocentric,Rooted,guy,,,,,,,,,,,,,,,,,,
egotistic,Satisfied,guests,,,,,,,,,,,,,,,,,,
egotistical,Secure,guest,,,,,,,,,,,,,,,,,,
elusive,Selfless,granny,,,,,,,,,,,,,,,,,,
emancipated,Self Reliant,grandsons,,,,,,,,,,,,,,,,,,
emasculated,Sensational,grandson,,,,,,,,,,,,,,,,,,
embarrassed,Sensible,grandparents,,,,,,,,,,,,,,,,,,
emotional,Sensitive,grandmum,,,,,,,,,,,,,,,,,,
emotionless,Serene,grandmother,,,,,,,,,,,,,,,,,,
emotionally bankrupt,Settled,grandmom,,,,,,,,,,,,,,,,,,
empty,Sharing,grandma,,,,,,,,,,,,,,,,,,
encumbered,Simple,grandfather,,,,,,,,,,,,,,,,,,
endangered,Skillful,granddaughters,,,,,,,,,,,,,,,,,,
enraged,Smooth,granddaughter,,,,,,,,,,,,,,,,,,
enslaved,Soothed,granddad,,,,,,,,,,,,,,,,,,
entangled,Spirited,grandchildren,,,,,,,,,,,,,,,,,,
evaded,Splendid,girls,,,,,,,,,,,,,,,,,,
evasive,Stable,girlfriends,,,,,,,,,,,,,,,,,,
evicted,Steadfast,girlfriend,,,,,,,,,,,,,,,,,,
excessive,Strengthened,girl,,,,,,,,,,,,,,,,,,
excluded,Strong,gfs,,,,,,,,,,,,,,,,,,
exhausted,Successful,gf,,,,,,,,,,,,,,,,,,
exploited,Supported,gang,,,,,,,,,,,,,,,,,,
exposed,Sustained,friends,,,,,,,,,,,,,,,,,,
failful *,Tactful,friend,,,,,,,,,,,,,,,,,,
fake,Teachable,folks,,,,,,,,,,,,,,,,,,
FALSE,Temperate,flatmate,,,,,,,,,,,,,,,,,,
fear,Tenacious,fish,,,,,,,,,,,,,,,,,,
fearful,Tender,fiancee,,,,,,,,,,,,,,,,,,
fed up,Thankful,fiance,,,,,,,,,,,,,,,,,,
flawed,Thoughtful,fellows,,,,,,,,,,,,,,,,,,
forced,Thrilled,fellow,,,,,,,,,,,,,,,,,,
forgetful,Tolerant,favourites,,,,,,,,,,,,,,,,,,
forgettable,Tranquil,fathers,,,,,,,,,,,,,,,,,,
forgotten,Triumphant,father,,,,,,,,,,,,,,,,,,
fragile,Trust,family,,,,,,,,,,,,,,,,,,
freaked out,Trusting,families,,,,,,,,,,,,,,,,,,
frightened,Unbiased,everyone,,,,,,,,,,,,,,,,,,
frigid,Understanding,everybody,,,,,,,,,,,,,,,,,,
frustrated,Understood,estranged,,,,,,,,,,,,,,,,,,
furious,Undisturbed,enemy,,,,,,,,,,,,,,,,,,
gloomy,Unhurried,enemies,,,,,,,,,,,,,,,,,,
glum,Unique,employees,,,,,,,,,,,,,,,,,,
gothic,United,elder sister,,,,,,,,,,,,,,,,,,
grey,Unselfish,elder brother,,,,,,,,,,,,,,,,,,
grief,Upheld,elder,,,,,,,,,,,,,,,,,,
grim,Valiant,dogs,,,,,,,,,,,,,,,,,,
gross,Valuable,dog,,,,,,,,,,,,,,,,,,
grossed-out,Valued,doctor,,,,,,,,,,,,,,,,,,
grotesque,Virile,daughters,,,,,,,,,,,,,,,,,,
grouchy,Vital,daughter,,,,,,,,,,,,,,,,,,
grounded,Warm,dads,,,,,,,,,,,,,,,,,,
grumpy,Wealthy,daddy,,,,,,,,,,,,,,,,,,
guilt-tripped,Willing,dad,,,,,,,,,,,,,,,,,,
guilty,Wise,customers,,,,,,,,,,,,,,,,,,
harassed,Wonderful,cousins,,,,,,,,,,,,,,,,,,
hard,Worthwhile,cousin,,,,,,,,,,,,,,,,,,
hard-hearted,Worthy,couples,,,,,,,,,,,,,,,,,,
harmed,Yielding,couple,,,,,,,,,,,,,,,,,,
hassled,Zealous,comrades,,,,,,,,,,,,,,,,,,
hate,,competitors,,,,,,,,,,,,,,,,,,
hateful,,companions,,,,,,,,,,,,,,,,,,
hatred,,community,,,,,,,,,,,,,,,,,,
haunted,,colleagues,,,,,,,,,,,,,,,,,,
heartbroken,,co-workers,,,,,,,,,,,,,,,,,,
heartless,,clients,,,,,,,,,,,,,,,,,,
heavy-hearted,,classmates,,,,,,,,,,,,,,,,,,
helpless,,classmate,,,,,,,,,,,,,,,,,,
hesitant,,clan,,,,,,,,,,,,,,,,,,
hideous,,children,,,,,,,,,,,,,,,,,,
hindered,,childhood,,,,,,,,,,,,,,,,,,
hopeless,,child,,,,,,,,,,,,,,,,,,
horrible,,cats,,,,,,,,,,,,,,,,,,
horrified,,cat,,,,,,,,,,,,,,,,,,
horror,,campers,,,,,,,,,,,,,,,,,,
hostile,,buddy,,,,,,,,,,,,,,,,,,
hot-tempered,,buddies,,,,,,,,,,,,,,,,,,
humiliated,,brothers,,,,,,,,,,,,,,,,,,
hung up,,brother,,,,,,,,,,,,,,,,,,
hung over,,bro,,,,,,,,,,,,,,,,,,
hurried,,boys,,,,,,,,,,,,,,,,,,
hurt,,boyhood,,,,,,,,,,,,,,,,,,
hysterical,,boyfriends,,,,,,,,,,,,,,,,,,
idiotic,,boyfriend,,,,,,,,,,,,,,,,,,
ignorant,,boy,,,,,,,,,,,,,,,,,,
ignored,,boss,,,,,,,,,,,,,,,,,,
ill,,bf,,,,,,,,,,,,,,,,,,
ill-tempered,,baby,,,,,,,,,,,,,,,,,,
imbalanced,,aunts,,,,,,,,,,,,,,,,,,
